date,cases,deaths,cases_smoothed,deaths_smoothed,cfr,air temperature
2021-06-05,2306.0,16.0,2625.0,16.285714285714285,0.006204081632653061,19.60584
2021-06-06,1128.0,10.0,2392.8571428571427,13.142857142857142,0.005492537313432836,19.240186666666666
2021-06-07,1713.0,12.0,2298.285714285714,12.0,0.005221282943809051,19.06354
2021-06-08,3528.0,12.0,2236.5714285714284,11.571428571428571,0.005173735309146653,19.277493333333332
2021-06-09,2865.0,10.0,2093.714285714286,9.857142857142858,0.00470796943231441,20.117813333333334
2021-06-10,2275.0,10.0,2006.142857142857,9.428571428571429,0.004699850459303568,20.31088888888889
2021-06-11,1841.0,11.0,1894.7142857142858,9.714285714285714,0.00512704516323607,19.741342222222222
2021-06-12,1306.0,4.0,1634.0,9.428571428571429,0.005770239552369295,19.945502222222224
2021-06-13,515.0,7.0,1431.142857142857,9.285714285714286,0.006488321022160112,20.121982222222222
2021-06-14,933.0,14.0,1271.0,8.857142857142858,0.006968641114982578,20.550408888888892
2021-06-15,1703.0,10.0,1155.0,7.857142857142857,0.006802721088435374,22.229599999999998
2021-06-16,1445.0,9.0,1074.0,7.285714285714286,0.006783719074221867,24.385013333333337
2021-06-17,1154.0,7.0,1039.5714285714287,6.571428571428571,0.006321286244331454,25.5424
2021-06-18,1029.0,4.0,992.5714285714286,5.285714285714286,0.005325273459988486,26.128395555555556
2021-06-19,739.0,0.0,900.4285714285714,5.142857142857143,0.005711565920990005,25.625755555555553
2021-06-20,274.0,2.0,823.1428571428571,4.285714285714286,0.0052065255119750084,23.49854309178744
2021-06-21,604.0,5.0,775.7142857142857,4.0,0.005156537753222837,21.640756425120774
2021-06-22,1058.0,9.0,734.1428571428571,4.285714285714286,0.005837711617046118,19.763316425120774
2021-06-23,904.0,3.0,697.8571428571429,4.285714285714286,0.006141248720573183,18.40041420289855
2021-06-24,822.0,5.0,690.7142857142857,4.285714285714286,0.006204756980351603,18.155480869565217
2021-06-25,738.0,6.0,677.7142857142857,4.142857142857143,0.006112984822934234,19.13224
2021-06-26,485.0,0.0,654.7142857142857,3.7142857142857144,0.005673139864717435,20.31104
2021-06-27,224.0,2.0,648.7142857142857,3.4285714285714284,0.005285179475886369,20.91920077294686
2021-06-28,513.0,4.0,632.1428571428571,3.4285714285714284,0.005423728813559322,20.790325217391306
2021-06-29,897.0,6.0,622.0,3.0,0.00482315112540193,19.848976328502413
2021-06-30,862.0,1.0,625.2857142857143,3.2857142857142856,0.005254740689970299,18.929269661835754
2021-07-01,706.0,5.0,623.1428571428571,3.2857142857142856,0.00527281063732233,18.018211884057973
2021-07-02,667.0,3.0,628.4285714285714,3.0,0.004773812230052284,17.880944444444445
2021-07-03,508.0,2.0,651.2857142857143,2.857142857142857,0.004386926957666155,18.208626666666667
2021-07-04,209.0,2.0,665.5714285714286,3.142857142857143,0.00472204335694355,19.42634888888889
2021-07-05,550.0,2.0,701.5714285714286,2.7142857142857144,0.0038688658114436982,19.71640222222222
